 ID,Date ,Months,Treatment,WetBiomass ,DryBiomass,Red,Green,Blue,NIR,RedEdge,GNDVI,NDRE,NDVI
P5,"Thursday, 3 January 2019",Jan,T1,8.353661202,1.537352402,0.061781552,0.091845986,0.043776476,0.365543471,0.166867205,0.599689518,0.371833075,0.706484098
P5,"Thursday, 3 January 2019",Jan,T1,8.268852459,1.463085757,0.059245482,0.09131361,0.040171054,0.379982654,0.171200042,0.614286981,0.379167527,0.724119593
P18,"Thursday, 3 January 2019",Jan,T1,6.524965847,1.244201562,0.064657874,0.092938404,0.0436398,0.384611947,0.172860779,0.61253208,0.380021779,0.708586216
P18,"Thursday, 3 January 2019",Jan,T1,6.14880085,1.104724361,0.054798722,0.090741578,0.039695384,0.415652765,0.170424575,0.645402602,0.421765228,0.765442989
P39,"Thursday, 3 January 2019",Jan,T1,6.296976321,1.346503695,0.066453129,0.094148924,0.044545502,0.378864261,0.173840901,0.602711445,0.369636426,0.69646591
P39,"Thursday, 3 January 2019",Jan,T1,5.810093218,1.138821862,0.061577158,0.09372302,0.041973984,0.394998847,0.176675328,0.618576626,0.38265691,0.725830262
P48,"Thursday, 3 January 2019",Jan,T1,7.997477932,1.539646039,0.07517175,0.093005103,0.045269345,0.333154009,0.17415751,0.564123988,0.312721503,0.624351336
P48,"Thursday, 3 January 2019",Jan,T1,7.67704918,1.585391233,0.060666052,0.094178312,0.041510653,0.378408987,0.177033418,0.603425049,0.364277868,0.718019785
P37,"Thursday, 3 January 2019",Jan,T3,14.09239071,2.632625681,0.051100687,0.080944305,0.038673834,0.408417713,0.151449992,0.668583475,0.457648653,0.771501086
P37,"Thursday, 3 January 2019",Jan,T3,13.87526557,2.727915226,0.047142633,0.082781288,0.039495648,0.439945087,0.15215459,0.683645058,0.486006478,0.801277133
P26,"Thursday, 3 January 2019",Jan,T3,15.74940948,2.929677387,0.041092413,0.080124682,0.035670027,0.474154584,0.151052871,0.712974962,0.519050154,0.837643108
P26,"Thursday, 3 January 2019",Jan,T3,12.66357641,2.225929783,0.038598619,0.079985266,0.035146874,0.494159408,0.151331885,0.724108244,0.534074571,0.853486074
P35,"Thursday, 3 January 2019",Jan,T3,11.06125885,2.181002023,0.041937684,0.082638426,0.038232265,0.47968994,0.15311902,0.708195259,0.518392779,0.837857052
P35,"Thursday, 3 January 2019",Jan,T3,10.56234407,2.010748592,0.05747122,0.086710735,0.041627131,0.418213567,0.16240843,0.655908395,0.439290571,0.751781052
P8,"Thursday, 3 January 2019",Jan,T3,11.20584069,2.18937493,0.044239448,0.083969762,0.037834293,0.468748762,0.156800384,0.699068078,0.501794487,0.8257705
P8,"Thursday, 3 January 2019",Jan,T3,12.50983997,2.399237832,0.040152172,0.081139405,0.035795029,0.467227318,0.152115549,0.706500625,0.511259676,0.840107717
